The contents of the file `/cv-job-matching-colab/cv-job-matching-colab/data/jobs_clean.csv` should include job descriptions that will be used for training the model. Below is a sample structure for the CSV file, which includes columns for job titles and job descriptions. You can modify the content as needed to fit your specific job data.

job_title,job_description_clean
"Software Engineer","Develop and maintain software applications."
"Data Scientist","Analyze and interpret complex data to help companies make decisions."
"Product Manager","Oversee the development of products from inception to launch."
"UX Designer","Design user-friendly interfaces and improve user experience."
"Marketing Specialist","Create and implement marketing strategies to promote products."
"Sales Representative","Sell products and services to customers and businesses."
"DevOps Engineer","Manage and automate the deployment of applications."
"Project Manager","Plan, execute, and close projects according to deadlines."
"System Analyst","Analyze and improve IT systems and processes."
"Web Developer","Build and maintain websites and web applications."
